status,title,doi,authors,year,code,website,keywords,projects,selected
publish,Quantib Prostate Compared to an Expert Radiologist for the Diagnosis of Prostate Cancer on mpMRI: A Single-Center Preliminary Study,10.3390/tomography8040168,Eliodoro Faiella; Daniele Vertulli; Francesco Esperto; Ermanno Cordelli; Paolo Soda; Rosa Maria Muraca; Lorenzo Paolo Moramarco; Rosario Francesco Grasso; Bruno Beomonte Zobel; Domiziana Santucci,2022,,,radiomics; oncology; clinical prediction,,FALSE
publish,PyTrack: A Map-Matching-Based Python Toolbox for Vehicle Trajectory Reconstruction,10.1109/access.2022.3216565,Matteo Tortora; Ermanno Cordelli; Paolo Soda,2022,,,clinical prediction; medical imaging,,FALSE
publish,Optimized Fusion of CNNs to Diagnose Pulmonary Diseases on Chest X-Rays,10.1007/978-3-031-06427-2_17,Valerio Guarrasi; Paolo Soda,2022,,https://doi.org/10.1007/978-3-031-06427-2_17,radiomics; oncology; COVID-19,,FALSE
publish,MRI- and Histologic-Molecular-Based Radio-Genomics Nomogram for Preoperative Assessment of Risk Classes in Endometrial Cancer,10.3390/cancers14235881,Veronica Celli; Michele Guerreri; Angelina Pernazza; Ilaria Cuccu; Innocenza Palaia; Federica Tomao; Violante Di Donato; Paola Pricolo; Giada Ercolani; Sandra Ciulla; Nicoletta Colombo; Martina Leopizzi; Valeria Di Maio; Eliodoro Faiella; Domiziana Santucci; Paolo Soda; Ermanno Cordelli; Giorgia Perniola; Benedetta Gui; Stefania Rizzo; Carlo Della Rocca; Giuseppe Petralia; Carlo Catalano; Lucia Manganaro,2022,,,radiomics; oncology; generative AI,,FALSE
publish,MLOps: A Taxonomy and a Methodology,10.1109/access.2022.3181730,matteo testi; Matteo Ballabio; Emanuele Frontoni; Giulio Iannello; Sara Moccia; Paolo Soda; Gennaro Vessio,2022,,https://doi.org/10.1109/access.2022.3181730,explainability; medical imaging,,FALSE
publish,Exploiting AI to make insulin pens smart: injection site recognition and lipodystrophy detection,10.1109/cbms55023.2022.00044,Elisabetta Torre; Luisa Francini; Ermanno Cordelli; Rosa Sicilia; Silvia Manfrini; Vincenzo Piemonte; Paolo Soda,2022,,https://doi.org/10.1109/cbms55023.2022.00044,clinical prediction; medical imaging,,FALSE
publish,Evaluating Tumour Bounding Options for Deep Learning-based Axillary Lymph Node Metastasis Prediction in Breast Cancer,10.1109/icpr56361.2022.9956657,Michela Gravina; Ermanno Cordelli; Domiziana Santucci; Paolo Soda; Carlo Sansone,2022,,https://doi.org/10.1109/icpr56361.2022.9956657,radiomics; oncology; clinical prediction,,FALSE
publish,Correction to: An empirical study on the joint impact of feature selection and data resampling on imbalance classification,10.1007/s10489-022-03953-y,Chongsheng Zhang; Paolo Soda; Jingjun Bi; Gaojuan Fan; George Almpanidis; Salvador García; Weiping Ding,2022,,,medical imaging,,FALSE
publish,Comparison of current methods for <scp>anti‐dsDNA</scp> antibody detection and reshaping diagnostic strategies,10.1111/sji.13220,María Infantino; Boaz Palterer; Giulia Previtali; Maria‐Grazia Alessio; Danilo Villalta; Teresa Carbone; Stefan Platzgummer; Giusi Paura; Caterina Castiglione; Martina Fabris; Giampaola Pesce; Brunetta Porcelli; Lucia Terzuoli; Maria‐Romana Bacarelli; Marilina Tampoia; Luigi Cinquanta; Ignazio Brusca; Francesca Buzzolini; Maurizio Benucci; Matteo Tortora; Lorenzo Tronchin; Valerio Guarrasi; Paolo Soda; Mariangela Manfredi; Nicola Bizzaro,2022,,https://doi.org/10.1111/sji.13220,medical imaging,,FALSE
publish,CNN-Based Approaches with Different Tumor Bounding Options for Lymph Node Status Prediction in Breast DCE-MRI,10.3390/cancers14194574,Domiziana Santucci; Eliodoro Faiella; Michela Gravina; Ermanno Cordelli; Carlo de Felice; Bruno Beomonte Zobel; Giulio Iannello; Carlo Sansone; Paolo Soda,2022,,,radiomics; oncology; clinical prediction,,FALSE
publish,Artificial Intelligence in Bone Metastases: An MRI and CT Imaging Review,10.3390/ijerph19031880,Eliodoro Faiella; Domiziana Santucci; Alessandro Calabrese; Fabrizio Russo; Gianluca Vadalà; Bruno Beomonte Zobel; Paolo Soda; Giulio Iannello; Carlo de Felice; Vincenzo Denaro,2022,,,radiomics; medical imaging,,FALSE
publish,An empirical study on the joint impact of feature selection and data resampling on imbalance classification,10.1007/s10489-022-03772-1,Chongsheng Zhang; Paolo Soda; Jingjun Bi; Gaojuan Fan; George Almpanidis; Salvador García; Weiping Ding,2022,,https://doi.org/10.1007/s10489-022-03772-1,medical imaging,,FALSE
publish,3T-MRI Artificial Intelligence in Patients with Invasive Breast Cancer to Predict Distant Metastasis Status: A Pilot Study,10.3390/cancers15010036,Alessandro Calabrese; Domiziana Santucci; Michela Gravina; Eliodoro Faiella; Ermanno Cordelli; Paolo Soda; Giulio Iannello; Carlo Sansone; Bruno Beomonte Zobel; Carlo Catalano; Carlo de Felice,2022,,,radiomics; oncology; medical imaging,,FALSE
